id,y_true,y_true_label,score_Promoter,score_Enhancer,score_Non_CRE
AT4G26290_1;TSS=13307832;strand=-,0,Promoter,0.9996757507324219,2.331511552711163e-07,0.00032398541225120425
AT5G01770_1;TSS=301981;strand=-,0,Promoter,0.9996801614761353,2.3124316328448913e-07,0.00031962129287421703
AT4G33140_1;TSS=15981490;strand=+,0,Promoter,0.00522239925339818,2.7926907932851464e-05,0.9947496056556702
AT4G32330_1;TSS=15608952;strand=+,0,Promoter,0.9996788501739502,2.3383483949146466e-07,0.0003209355054423213
AT3G16840_1;TSS=5743148;strand=-,0,Promoter,0.9996789693832397,2.2964056256569165e-07,0.0003207868430763483
AT5G24650_1;TSS=8437100;strand=+,0,Promoter,0.9996784925460815,2.287314231352866e-07,0.0003212655137758702
AT3G04020_1;TSS=1040476;strand=+,0,Promoter,0.9994044303894043,7.097544312273385e-07,0.0005948689067736268
AT5G41240_1;TSS=16500862;strand=-,0,Promoter,0.9996777772903442,2.645864753958449e-07,0.0003219858044758439
AT3G51660_1;TSS=19165170;strand=-,0,Promoter,0.9996790885925293,2.473210827247385e-07,0.0003206669935025275
AT5G63135_1;TSS=25326460;strand=-,0,Promoter,0.9996780157089233,2.586559162409685e-07,0.0003217022749595344
AT3G10880_1;TSS=3405875;strand=+,0,Promoter,0.9996795654296875,2.3761840850511362e-07,0.00032021422521211207
AT5G39960_1;TSS=15994003;strand=+,0,Promoter,0.9996793270111084,2.517848258776212e-07,0.00032048788852989674
AT3G13940_1;TSS=4602497;strand=-,0,Promoter,0.9996802806854248,2.3369247514892777e-07,0.0003195445460733026
AT5G53860_1;TSS=21865342;strand=+,0,Promoter,0.9996768236160278,2.6902338845502527e-07,0.0003229853173252195
AT4G35050_1;TSS=16684829;strand=-,0,Promoter,0.9996799230575562,2.404960923740873e-07,0.0003198520571459085
AT5G36910_1;TSS=14562686;strand=-,0,Promoter,0.0025186471175402403,6.193791250552749e-06,0.9974752068519592
AT1G69160_1;TSS=26000170;strand=+,0,Promoter,0.9996774196624756,2.2747123296085192e-07,0.0003223193052690476
AT4G14810_1;TSS=8504059;strand=+,0,Promoter,0.0017070985632017255,4.227436420478625e-06,0.9982885718345642
AT4G36480_1;TSS=17218173;strand=+,0,Promoter,0.9996764659881592,2.6029587729681225e-07,0.00032336244476027787
AT4G20540_1;TSS=11051842;strand=+,0,Promoter,0.9996792078018188,2.4080387106550916e-07,0.00032056457712315023
AT5G50200_1;TSS=20436521;strand=+,0,Promoter,0.9996787309646606,2.391782913946372e-07,0.00032109528547152877
AT1G64670_1;TSS=24033495;strand=-,0,Promoter,0.9996801614761353,2.3595517006924638e-07,0.0003195944882463664
AT1G14320_1;TSS=4888222;strand=+,0,Promoter,0.9996798038482666,2.386604194271058e-07,0.00032003389787860215
AT1G16530_1;TSS=5652889;strand=-,0,Promoter,0.9996786117553711,2.395508147401415e-07,0.0003212027659174055
AT5G60290_1;TSS=24262805;strand=+,0,Promoter,0.99967360496521,2.470175388680218e-07,0.0003262045793235302
AT4G29880_1;TSS=14608429;strand=-,0,Promoter,0.999680757522583,2.273123840268454e-07,0.00031903039780445397
AT3G54650_1;TSS=20228950;strand=-,0,Promoter,0.9996812343597412,2.2809599897755106e-07,0.0003185753885190934
AT4G32930_1;TSS=15898858;strand=+,0,Promoter,0.999678373336792,2.480404077687126e-07,0.0003214229946024716
AT5G46530_1;TSS=18875537;strand=+,0,Promoter,0.9996787309646606,2.364292299716908e-07,0.0003210741269867867
AT2G15240_1;TSS=6618961;strand=-,0,Promoter,0.9996798038482666,2.3523433867467247e-07,0.000320019549690187
AT1G67500_1;TSS=25296984;strand=-,0,Promoter,0.9996799230575562,2.390089264281414e-07,0.0003198484191671014
AT3G27425_1;TSS=10150989;strand=+,0,Promoter,0.9996744394302368,2.307065614104431e-07,0.0003253039321862161
AT5G10940_1;TSS=3454190;strand=-,0,Promoter,0.9996793270111084,2.268068612920615e-07,0.0003204200475011021
AT3G17890_1;TSS=6127046;strand=+,0,Promoter,0.9996366500854492,2.952806994471757e-07,0.0003630795981734991
AT3G43670_1;TSS=15567086;strand=+,0,Promoter,0.9996788501739502,2.2907205732281e-07,0.0003209692076779902
AT3G51980_1;TSS=19287564;strand=-,0,Promoter,0.9996798038482666,2.4209904836425267e-07,0.00032001620274968445
AT1G47530_1;TSS=17451690;strand=+,0,Promoter,0.999679684638977,2.399772824901447e-07,0.00032011352595873177
AT1G61710_1;TSS=22790495;strand=-,0,Promoter,0.9985690116882324,3.773425078179571e-06,0.001427110517397523
AT1G55990_1;TSS=20943044;strand=-,0,Promoter,0.8885785341262817,0.0008977722027339041,0.11052373051643372
AT5G39030_1;TSS=15620010;strand=+,0,Promoter,0.9996792078018188,2.3037392793412437e-07,0.00032055904739536345
